"Latest: Time (s)","Latest: Intensity (%)","Latest: Angle (rad)","Latest: Velocity (rad/s)","Latest: Acceleration (rad/s²)"
22.9,22.7401733398,-6.14355896702,-0.465421133865,-0.96424054354
22.95,23.2879638672,-6.17846555206,-0.475117407487,0.307048664703
23,24.4171142578,-6.19591884458,-0.387850944888,0.781088708454
23.05,24.2950439453,-6.2133721371,-0.358762124021,0.511747774504
23.1,24.4476318359,-6.23082542962,-0.349065850399,0.404011400925
23.15,26.3076782227,-6.24827872214,-0.339369576777,0.689512790911
23.2,26.1245727539,-6.26573201466,-0.300584482288,1.25512875221
23.25,26.887512207,-6.28318530718,-0.184229198822,1.12045828523
23.3,27.1621704102,-6.28318530718,-0.106659009844,-0.474040043752
23.35,27.4047851563,-6.28318530718,-0.22301429331,-2.11701974084
23.4,27.2842407227,-6.3006385997,-0.426636039376,-1.78303698275
23.45,27.2537231445,-6.33554518474,-0.465421133865,-0.204699109802
23.5,26.3381958008,-6.35299847726,-0.387850944888,0.404011400925
23.55,26.1245727539,-6.37045176978,-0.368458397643,-0.0754154615061
23.6,27.0095825195,-6.3879050623,-0.387850944888,-0.775701889775
23.65,28.3508300781,-6.40535835482,-0.48481368111,-0.700286428269
23.7,30.485534668,-6.44026493986,-0.504206228354,0.382464126209
23.75,32.8948974609,-6.45771823238,-0.465421133865,1.83690516954
23.8,33.9324951172,-6.49262481742,-0.31028075591,2.96813709213
23.85,33.3221435547,-6.49262481742,-0.0872664625997,2.51025750441
23.9,33.5052490234,-6.49262481742,-0.0193925472444,1.21203420277
23.95,33.6578369141,-6.49262481742,0,0.414785038283
24,32.3760986328,-6.49262481742,0,0.0808022801849
24.05,31.6757202148,-6.49262481742,0,0.010773637358
24.1,32.0404052734,-6.49262481742,0,0
24.15,30.729675293,-6.49262481742,0,0
24.2,32.2235107422,-6.49262481742,0,0
24.25,31.462097168,-6.49262481742,0,0
24.3,32.1014404297,-6.49262481742,0,0
24.35,32.2845458984,-6.49262481742,0,0
24.4,32.2235107422,-6.49262481742,0,-0.010773637358
24.45,32.3455810547,-6.49262481742,0,-0.0861890988639
24.5,32.5897216797,-6.49262481742,0,-0.447105950357
24.55,33.1085205078,-6.49262481742,-0.0193925472444,-1.35747830711
24.6,33.2916259766,-6.49262481742,-0.0969627362219,-2.80114571308
24.65,32.8338623047,-6.49262481742,-0.339369576777,-3.31289348758
24.7,34.9075317383,-6.52753140246,-0.552687596465,-1.55140377955
24.75,34.9685668945,-6.5624379875,-0.504206228354,0.414785038282
24.8,35.4873657227,-6.57989128002,-0.407243492132,0.549455505257
24.85,34.8770141602,-6.59734457254,-0.39754721851,-0.382464126209
24.9,31.3705444336,-6.61479786506,-0.48481368111,-0.74876779638
24.95,28.6254882813,-6.6497044501,-0.513902501976,-0.280114571308
25,25.910949707,-6.66715774262,-0.513902501976,0.328595939419
25.05,23.3795166016,-6.70206432766,-0.48481368111,0.958853724861
25.1,22.9827880859,-6.71951762018,-0.387850944888,0.958853724861
25.15,23.8983154297,-6.7369709127,-0.358762124021,0.328595939419
25.2,24.8138427734,-6.75442420522,-0.358762124021,-0.285501389987
25.25,25.6362915039,-6.77187749774,-0.387850944888,-0.775701889775
25.3,25.4837036133,-6.78933079026,-0.475117407487,-0.490200499789
25.35,25.5142211914,-6.8242373753,-0.475117407487,0.452492769035
25.4,25.8499145508,-6.84169066782,-0.387850944888,0.624870966763
25.45,25.910949707,-6.85914396034,-0.368458397643,-0.0430945494318
25.5,25.910949707,-6.87659725286,-0.387850944888,-0.845730532602
25.55,24.6612548828,-6.89405054538,-0.48481368111,-1.06659009844
25.6,23.8983154297,-6.92895713042,-0.523598775598,-0.565615961294
25.65,23.6541748047,-6.94641042294,-0.542991322843,0.210085928481
25.7,22.6181030273,-6.98131700798,-0.562383870087,1.98773609255
25.75,22.9522705078,-7.01622359302,-0.339369576777,3.49065850399
25.8,23.2879638672,-7.01622359302,-0.0969627362219,2.83885344383
25.85,23.6846923828,-7.01622359302,-0.0193925472444,1.36286512579
25.9,23.7762451172,-7.01622359302,0,0.447105950357
25.95,23.3184814453,-7.01622359302,0,0.0861890988639
26,23.4100341797,-7.01622359302,0,0.010773637358
26.05,23.5931396484,-7.01622359302,0,0
26.1,23.4710693359,-7.01622359302,0,0
26.15,23.5015869141,-7.01622359302,0,0
26.2,23.2269287109,-7.01622359302,0,0
26.25,23.2879638672,-7.01622359302,0,0
26.3,23.5015869141,-7.01622359302,0,0
26.35,23.4100341797,-7.01622359302,0,0
26.4,23.3489990234,-7.01622359302,0,0
26.45,23.3184814453,-7.01622359302,0,0
26.5,23.4710693359,-7.01622359302,0,-0.005386818679
26.55,23.3795166016,-7.01622359302,0,-0.037707730753
26.6,23.2574462891,-7.01622359302,0,-0.188538653765
26.65,23.2269287109,-7.01622359302,-0.00969627362219,-0.522521411863
26.7,23.5015869141,-7.01622359302,-0.0387850944888,-1.07197691712
26.75,23.3184814453,-7.01622359302,-0.135747830711,-1.33593103239
26.8,23.2574462891,-7.03367688554,-0.184229198822,-1.31977057635
26.85,23.1964111328,-7.03367688554,-0.242406840555,-1.56756423559
26.9,22.770690918,-7.05113017806,-0.39754721851,-0.904985538071
26.95,21.5805053711,-7.0860367631,-0.349065850399,-0.048481368111
27,21.4584350586,-7.0860367631,-0.300584482288,-0.867277807318
27.05,20.7565307617,-7.10349005562,-0.455724860243,-1.3844124005
27.1,21.1227416992,-7.13839664066,-0.504206228354,-0.845730532602
27.15,22.1603393555,-7.15584993318,-0.523598775598,-0.517134593183
27.2,23.9898681641,-7.19075651822,-0.53329504922,-0.538681867899
27.25,23.8677978516,-7.20820981074,-0.562383870087,-0.791862345812
27.3,25.5447387695,-7.24311639578,-0.649650332687,-0.339369576777
27.35,25.9719848633,-7.27802298082,-0.639954059065,0.818796439207
27.4,26.2161254883,-7.31292956586,-0.53329504922,1.33593103239
27.45,28.7475585938,-7.33038285838,-0.436332312999,0.624870966763
27.5,28.7780761719,-7.3478361509,-0.48481368111,0.021547274716
27.55,29.2053222656,-7.38274273594,-0.48481368111,0.237020021876
27.6,27.587890625,-7.40019602846,-0.426636039376,0.005386818679
27.65,26.2771606445,-7.41764932098,-0.48481368111,-0.193925472444
27.7,24.8138427734,-7.45255590602,-0.48481368111,0.199312291123
27.75,24.5086669922,-7.47000919854,-0.426636039376,0.0377077307529
