"Latest: Time (s)","Latest: Illumination (lux)","Latest: Angle (rad)","Latest: Velocity (rad/s)","Latest: Acceleration (rad/s²)","Run 1: Time (s)","Run 1: Intensity (%)","Run 1: Angle (rad)","Run 1: Velocity (rad/s)","Run 1: Acceleration (rad/s²)"
6.1,46675.6384277,-1.308996939,-0.349065850399,0.183151835086,6.1,30.0888061523,-1.55334303427,-0.48481368111,1.19587374674
6.15,46558.3776855,-1.32645023152,-0.339369576777,0.474040043752,6.15,30.4244995117,-1.57079632679,-0.387850944888,1.26051557088
6.2,44330.423584,-1.34390352404,-0.31028075591,0.813409620528,6.2,30.4550170898,-1.58824961931,-0.349065850399,1.21742102145
6.25,45151.2487793,-1.36135681656,-0.22301429331,0.490200499788,6.25,29.9057006836,-1.60570291183,-0.300584482288,1.70223470256
6.3,45561.661377,-1.36135681656,-0.22301429331,-0.490200499788,6.3,28.5949707031,-1.62315620435,-0.174532925199,2.04160427934
6.35,46323.8562012,-1.37881010908,-0.31028075591,-0.808022801849,6.35,30.2719116211,-1.62315620435,-0.048481368111,1.51908286748
6.4,47027.4206543,-1.3962634016,-0.339369576777,-0.436332312999,6.4,31.0348510742,-1.62315620435,-0.00969627362219,0.700286428269
6.45,46441.1169434,-1.41371669412,-0.349065850399,1.3153058889E-014,6.45,29.753112793,-1.62315620435,0,0.226246384518
6.5,46675.6384277,-1.43116998664,-0.339369576777,0.436332312999,6.5,29.7225952148,-1.62315620435,0,0.043094549432
6.55,45972.0739746,-1.44862327916,-0.31028075591,0.808022801849,6.55,29.0222167969,-1.62315620435,0,0.005386818679
6.6,45972.0739746,-1.46607657168,-0.22301429331,0.490200499789,6.6,29.6020507813,-1.62315620435,0,0
6.65,46499.7473145,-1.46607657168,-0.22301429331,-0.490200499789,6.65,29.753112793,-1.62315620435,0,0
6.7,46910.1599121,-1.4835298642,-0.31028075591,-0.808022801849,6.7,29.1748046875,-1.62315620435,0,0
6.75,47672.3547363,-1.50098315672,-0.339369576777,-0.436332312999,6.75,29.9057006836,-1.62315620435,0,0
6.8,51187.2454834,-1.51843644924,-0.349065850399,0.00538681867902,6.8,29.5715332031,-1.62315620435,0,-0.00538681867899
6.85,52301.2225342,-1.53588974176,-0.339369576777,0.47942686243,6.85,29.8751831055,-1.62315620435,0,-0.0484813681109
6.9,56636.9384766,-1.55334303427,-0.31028075591,1.03426918637,6.9,29.8446655273,-1.62315620435,0,-0.26934093395
6.95,57806.6143799,-1.57079632679,-0.213318019688,1.19048692806,6.95,29.9362182617,-1.62315620435,-0.00969627362219,-0.921145994108
7,57747.9840088,-1.57079632679,-0.174532925199,1.02349554901,7,30.3329467773,-1.62315620435,-0.0581776417331,-2.17627474631
7.05,57806.6143799,-1.58824961931,-0.135747830711,1.19048692806,7.05,30.6991577148,-1.62315620435,-0.22301429331,-3.32905394362
7.1,57865.244751,-1.58824961931,-0.0387850944888,1.03965600505,7.1,30.5465698242,-1.64060949687,-0.465421133865,-3.0004580042
7.15,56927.1588135,-1.58824961931,-0.00969627362219,0.517134593183,7.15,29.4494628906,-1.67551608191,-0.601168964576,-1.17432647202
7.2,57747.9840088,-1.58824961931,0,0.188538653765,7.2,26.4297485352,-1.71042266695,-0.552687596465,0.258567296592
7.25,58099.7662354,-1.58824961931,0,0.037707730753,7.25,25.6973266602,-1.72787595947,-0.523598775598,0.716446884306
7.3,58568.8092041,-1.58824961931,0,0.00538681867899,7.3,26.2771606445,-1.76278254451,-0.48481368111,0.953466906182
7.35,55992.0043945,-1.58824961931,0,0,7.35,26.9180297852,-1.78023583703,-0.39754721851,0.517134593184
7.4,52767.3339844,-1.58824961931,0,0,7.4,27.4353027344,-1.79768912955,-0.39754721851,-0.517134593184
7.45,55112.5488281,-1.58824961931,0,0,7.45,27.4963378906,-1.81514242207,-0.48481368111,-0.96424054354
7.5,55522.9614258,-1.58824961931,0,0,7.5,27.587890625,-1.85004900711,-0.523598775598,-0.797249164491
7.55,54878.0273438,-1.58824961931,0,0,7.55,28.2592773438,-1.86750229963,-0.552687596465,-0.667965516195
7.6,54819.3969727,-1.58824961931,0,0,7.6,28.3813476563,-1.90240888467,-0.62056151182,-0.00538681867901
7.65,54057.2021484,-1.58824961931,0,0,7.65,28.5034179688,-1.93731546971,-0.552687596465,0.635644604121
7.7,52884.5947266,-1.58824961931,0,0,7.7,30.6381225586,-1.95476876223,-0.523598775598,0.646418241479
7.75,49604.2254639,-1.58824961931,0,0,7.75,34.8159790039,-1.98967534727,-0.494509954732,0.635644604121
7.8,49135.1824951,-1.58824961931,0,0,7.8,34.3276977539,-2.00712863979,-0.426636039376,-0.005386818679
7.85,48490.2484131,-1.58824961931,0,0,7.85,34.9075317383,-2.02458193231,-0.494509954732,-0.667965516195
7.9,49486.9647217,-1.58824961931,0,0,7.9,27.9541015625,-2.05948851735,-0.523598775598,-0.797249164491
7.95,53764.050293,-1.58824961931,0,0,7.95,32.1014404297,-2.07694180987,-0.562383870087,-0.96424054354
8,56285.15625,-1.58824961931,0,0,8,31.3095092773,-2.11184839491,-0.649650332687,-0.517134593184
8.05,58920.5914307,-1.58824961931,0,0,8.05,27.4047851563,-2.14675497995,-0.649650332687,0.522521411862
