"Latest: Time (s)","Latest: Potential 2 (mV)","Latest: Potential 1 (V)","Latest: Current (A)"
6.227,-299.68729248,0.107002258301,-0.0579643249512
6.228,-302.512976074,0.20637512207,-0.0396537780762
6.229,-304.396765137,0.317192077637,-0.0213432312012
6.23,-305.809606934,0.420188903809,-0.00265121459961
6.231,-306.280554199,0.519561767578,0.0156593322754
6.232,-305.809606934,0.626564025879,0.0339508056641
6.233,-303.925817871,0.725746154785,0.0522613525391
6.234,-301.100134277,0.825119018555,0.0701904296875
6.235,-297.332556152,0.91667175293,0.0881195068359
6.236,-293.094030762,1.00841522217,0.105667114258
6.237,-287.442663574,1.10015869141,0.122451782227
6.238,-280.37845459,1.18408203125,0.139236450195
6.239,-272.84329834,1.26056671143,0.156021118164
6.24,-264.837194824,1.34449005127,0.171279907227
6.241,-255.912744141,1.41334533691,0.186157226563
6.242,-246.022851562,1.4820098877,0.201034545898
6.243,-235.662011719,1.55067443848,0.215148925781
6.244,-224.830224609,1.60808563232,0.228099822998
6.245,-213.080090332,1.66149139404,0.240688323975
6.246,-248.377587891,1.71127319336,0.257091522217
6.247,-249.790429687,1.75323486328,0.271587371826
6.248,-233.778222656,1.79138183594,0.285320281982
6.249,-213.551037598,1.82189941406,0.297145843506
6.25,-192.82935791,1.84478759766,0.308589935303
6.251,-166.479858398,1.86786651611,0.317363739014
6.252,-139.164916992,1.88312530518,0.325374603271
6.253,-121.268920898,1.88694000244,0.33224105835
6.254,-101.983630371,1.88694000244,0.337200164795
6.255,-78.9072143555,1.88694000244,0.341777801514
6.256,-55.3833984375,1.87549591064,0.344066619873
6.257,-34.66171875,1.86386108398,0.345592498779
6.258,-17.2602172852,1.84097290039,0.346355438232
6.259,-1.71895751953,1.81045532227,0.346355438232
6.26,12.8804077148,1.77993774414,0.344829559326
6.261,30.7528564453,1.74179077148,0.342540740967
6.262,50.5326416016,1.69582366943,0.339107513428
6.263,70.3124267578,1.64623260498,0.333766937256
6.264,88.6558227539,1.59282684326,0.328426361084
6.265,104.19708252,1.53160095215,0.321178436279
6.266,122.093078613,1.46675109863,0.313549041748
6.267,139.023632812,1.39408111572,0.304393768311
6.268,154.093945312,1.32541656494,0.294857025146
6.269,169.164257812,1.24530792236,0.284175872803
6.27,183.740075684,1.16119384766,0.272731781006
6.271,200.694177246,1.07707977295,0.259761810303
6.272,215.29354248,0.98934173584,0.2467918396
6.273,227.985571289,0.893783569336,0.232677459717
6.274,240.230200195,0.802230834961,0.217819213867
6.275,251.53293457,0.702857971191,0.202178955078
6.276,262.835668945,0.603485107422,0.185775756836
6.277,273.172961426,0.504302978516,0.169372558594
6.278,278.824328613,0.393486022949,0.151824951172
6.279,284.475695801,0.29411315918,0.135040283203
6.28,293.423693848,0.187301635742,0.116348266602
6.281,302.371691895,0.084114074707,0.0980377197266
6.282,309.906848145,-0.0228881835938,0.079345703125
6.283,316.4765625,-0.129699707031,0.0602722167969
6.284,322.127929688,-0.236701965332,0.0404357910156
6.285,325.895507813,-0.339889526367,0.0206184387207
6.286,328.250244141,-0.446701049805,0.000400543212891
6.287,329.663085938,-0.546073913574,-0.0194358825684
6.288,330.134033203,-0.649261474609,-0.0392723083496
6.289,328.721191406,-0.74462890625,-0.0591087341309
6.29,325.895507813,-0.836372375488,-0.0785636901855
6.291,321.656982422,-0.935554504395,-0.0976371765137
6.292,316.4765625,-1.02348327637,-0.117092132568
6.293,310.37779541,-1.10759735107,-0.135402679443
6.294,304.255480957,-1.19533538818,-0.153713226318
6.295,296.720324707,-1.27182006836,-0.171241760254
6.296,288.243273926,-1.34811401367,-0.188407897949
6.297,272.231066895,-1.41677856445,-0.204811096191
6.298,258.597143555,-1.4856338501,-0.220069885254
6.299,247.29440918,-1.54666900635,-0.234184265137
6.3,234.578833008,-1.6040802002,-0.248680114746
6.301,224.217993164,-1.65748596191,-0.261650085449
6.302,219.979467773,-1.70707702637,-0.274620056152
6.303,211.525964355,-1.74160003662,-0.287590026855
6.304,196.926599121,-1.77211761475,-0.298652648926
6.305,176.675866699,-1.80644989014,-0.308570861816
6.306,131.488476562,-1.82933807373,-0.315437316895
6.307,92.8943481445,-1.84459686279,-0.320014953613
6.308,67.4867431641,-1.86367034912,-0.323829650879
6.309,57.1259033203,-1.86748504639,-0.326881408691
6.31,49.1197998047,-1.86367034912,-0.329551696777
6.311,39.7008544922,-1.86367034912,-0.33145904541
6.312,29.8109619141,-1.85222625732,-0.332984924316
6.313,14.7641967773,-1.82933807373,-0.33374786377
6.314,1.57767333984,-1.8102645874,-0.333366394043
6.315,-15.3764282227,-1.77974700928,-0.332221984863
6.316,-32.3069824219,-1.74541473389,-0.329551696777
