"Latest: Time (s)","Latest: Potential 1 (V)","Latest: Current (A)","Latest: Potential 2 (V)"
3.608,,,0.631713867188
3.609,,,0.631713867188
3.61,,,0.631713867188
3.611,,,0.631713867188
3.612,,,0.631713867188
3.613,,,0.631713867188
3.614,,,0.627899169922
3.615,,,0.631713867188
3.616,,,0.635528564453
3.617,,,0.631713867188
3.618,,,0.631713867188
3.619,,,0.631713867188
3.62,,,0.631713867188
3.621,,,0.631713867188
3.622,,,0.631713867188
3.623,,,0.631713867188
3.624,,,0.631713867188
3.625,,,0.631713867188
3.626,,,0.631713867188
3.627,,,0.635528564453
3.628,,,-6.00738525391
3.629,,,-2.55069732666
3.63,,,-1.27773284912
3.631,,,-0.83179473877
3.632,,,-0.683212280273
3.633,,,-0.63362121582
3.634,,,-0.610733032227
3.635,,,-0.603103637695
3.636,,,-0.603103637695
3.637,,,-0.59928894043
3.638,,,-0.603103637695
3.639,,,-0.603103637695
3.64,,,-0.603103637695
3.641,,,-0.603103637695
3.642,,,-0.606918334961
3.643,,,-0.59928894043
3.644,,,-0.606918334961
3.645,,,-0.59928894043
3.646,,,-0.59928894043
3.647,,,-0.59928894043
3.648,,,-0.603103637695
3.649,,,-0.603103637695
3.65,,,-0.59928894043
3.651,,,-0.603103637695
3.652,,,-0.59928894043
3.653,,,-0.59928894043
3.654,,,-0.59928894043
3.655,,,-0.603103637695
3.656,,,-0.603103637695
3.657,,,-0.59928894043
3.658,,,-0.603103637695
3.659,,,-0.59928894043
3.66,,,-0.603103637695
3.661,,,-0.59928894043
3.662,,,-0.603103637695
3.663,,,-0.59928894043
3.664,,,-0.59928894043
3.665,,,-0.59928894043
3.666,,,-0.59928894043
3.667,,,-0.59928894043
3.668,,,-0.59928894043
3.669,,,-0.59928894043
3.67,,,-0.595474243164
3.671,,,-0.59928894043
3.672,,,-0.603103637695
3.673,,,-0.595474243164
3.674,,,-0.603103637695
3.675,,,-0.59928894043
3.676,,,-0.59928894043
3.677,,,-0.59928894043
3.678,,,6.25
3.679,,,2.74314880371
3.68,,,1.36337280273
3.681,,,0.883293151855
3.682,,,0.719451904297
3.683,,,0.658416748047
3.684,,,0.639343261719
3.685,,,0.635528564453
3.686,,,0.631713867188
3.687,,,0.631713867188
3.688,,,0.627899169922
3.689,,,0.627899169922
3.69,,,0.631713867188
3.691,,,0.631713867188
3.692,,,0.631713867188
3.693,,,0.639343261719
3.694,,,0.635528564453
3.695,,,0.631713867188
3.696,,,0.631713867188
3.697,,,0.631713867188
3.698,,,0.631713867188
3.699,,,0.631713867188
3.7,,,0.635528564453
3.701,,,0.635528564453
3.702,,,0.635528564453
3.703,,,0.635528564453
3.704,,,0.635528564453
3.705,,,0.639343261719
3.706,,,0.635528564453
3.707,,,0.635528564453
3.708,,,0.635528564453
3.709,,,0.631713867188
3.71,,,0.631713867188
3.711,,,0.631713867188
3.712,,,0.631713867188
3.713,,,0.631713867188
3.714,,,0.627899169922
3.715,,,0.631713867188
3.716,,,0.631713867188
3.717,,,0.631713867188
3.718,,,0.631713867188
