"Latest: Time (s)","Latest: Current (A)","Latest: Potential 1 (V)","Latest: Potential 2 (V)"
11.549,-0.167770385742,-0.0396728515625,-3.90357971191
11.55,-0.167770385742,-0.0434875488281,-3.90357971191
11.551,-0.167388916016,-0.0396728515625,-3.90357971191
11.552,-0.167770385742,-0.0320434570313,-3.89976501465
11.553,-0.167388916016,-0.0205993652344,-3.89595031738
11.554,-0.167770385742,-0.0091552734375,-3.89595031738
11.555,-0.167770385742,0.00228881835938,-3.89976501465
11.556,-0.167388916016,-0.00152587890625,-3.89976501465
11.557,-0.167770385742,0.00228881835938,-3.89976501465
11.558,-0.167770385742,0.006103515625,-3.89976501465
11.559,-0.167388916016,-0.00152587890625,-3.89976501465
11.56,-0.167770385742,-0.00534057617188,-3.89595031738
11.561,-0.167770385742,-0.0091552734375,-3.89595031738
11.562,-0.167770385742,-0.0167846679688,-3.89976501465
11.563,-0.167770385742,-0.0320434570313,-3.89976501465
11.564,-0.167388916016,-0.0358581542969,-3.90357971191
11.565,-0.167770385742,-0.0396728515625,-3.89976501465
11.566,-0.167770385742,-0.0434875488281,-3.89976501465
11.567,-0.167388916016,-0.0358581542969,-3.89595031738
11.568,-0.167770385742,-0.0244140625,-3.89595031738
11.569,-0.167388916016,-0.0205993652344,-3.89595031738
11.57,0.00186920166016,-0.0091552734375,4.03881072998
11.571,0.110511779785,-0.0396728515625,3.99703979492
11.572,0.147857666016,-0.0205993652344,3.98178100586
11.573,0.160446166992,-0.0129699707031,3.97415161133
11.574,0.165023803711,0.00228881835938,3.98178100586
11.575,0.166168212891,0.006103515625,3.98178100586
11.576,0.166549682617,-0.00152587890625,3.98178100586
11.577,0.166931152344,-0.0091552734375,3.98178100586
11.578,0.166931152344,-0.0129699707031,3.97796630859
11.579,0.166931152344,-0.0282287597656,3.97796630859
11.58,0.166931152344,-0.0358581542969,3.97415161133
11.581,0.16731262207,-0.0358581542969,3.98178100586
11.582,0.166931152344,-0.0358581542969,3.98178100586
11.583,0.166931152344,-0.0434875488281,3.98178100586
11.584,0.166931152344,-0.0358581542969,3.98178100586
11.585,0.166931152344,-0.0320434570313,3.97415161133
11.586,0.166931152344,-0.0282287597656,3.97415161133
11.587,0.166931152344,-0.0205993652344,3.97415161133
11.588,0.166931152344,0.00228881835938,3.98178100586
11.589,0.166931152344,0.00228881835938,3.98559570313
11.59,0.166931152344,0.006103515625,3.98178100586
11.591,0.166931152344,0.006103515625,3.98178100586
11.592,0.166931152344,0.006103515625,3.97796630859
11.593,0.166931152344,-0.0091552734375,3.97415161133
11.594,0.166931152344,-0.0167846679688,3.97796630859
11.595,0.16731262207,-0.0091552734375,3.98178100586
