"Latest: Time (s)","Latest: Potential 1 (V)","Latest: Current (A)","Latest: Potential 2 (V)"
8.984,,0.166931152344,0.624084472656
8.985,,0.166931152344,0.624084472656
8.986,,0.16731262207,0.624084472656
8.987,,0.166931152344,0.624084472656
8.988,,0.166931152344,0.624084472656
8.989,,0.166931152344,0.624084472656
8.99,,0.166931152344,0.620269775391
8.991,,0.166931152344,0.627899169922
8.992,,0.166931152344,0.624084472656
8.993,,0.16731262207,0.624084472656
8.994,,0.16731262207,0.624084472656
8.995,,0.166931152344,0.627899169922
8.996,,0.166931152344,0.627899169922
8.997,,0.16731262207,0.627899169922
8.998,,0.166931152344,0.627899169922
8.999,,0.166931152344,0.624084472656
9,,0.166931152344,0.624084472656
9.001,,0.166931152344,0.624084472656
9.002,,0.166931152344,0.624084472656
9.003,,0.166931152344,0.624084472656
9.004,,0.166931152344,0.624084472656
9.005,,0.16731262207,0.627899169922
9.006,,0.166931152344,0.627899169922
9.007,,0.166931152344,0.627899169922
9.008,,0.166931152344,0.624084472656
9.009,,0.166931152344,0.627899169922
9.01,,0.166931152344,0.627899169922
9.011,,0.16731262207,0.627899169922
9.012,,0.166931152344,0.627899169922
9.013,,0.166931152344,0.627899169922
9.014,,0.166931152344,0.627899169922
9.015,,0.166931152344,0.631713867188
9.016,,0.0201606750488,-4.36477661133
9.017,,-0.103359222412,-1.89895629883
9.018,,-0.145664215088,-1.04522705078
9.019,,-0.159778594971,-0.751686096191
9.02,,-0.16471862793,-0.648880004883
9.021,,-0.166625976563,-0.614547729492
9.022,,-0.167007446289,-0.603103637695
9.023,,-0.167388916016,-0.59928894043
9.024,,-0.167388916016,-0.59928894043
9.025,,-0.167388916016,-0.595474243164
9.026,,-0.167770385742,-0.595474243164
9.027,,-0.167388916016,-0.595474243164
9.028,,-0.167388916016,-0.595474243164
9.029,,-0.167770385742,-0.595474243164
9.03,,-0.167388916016,-0.595474243164
9.031,,-0.167770385742,-0.595474243164
9.032,,-0.167388916016,-0.591659545898
9.033,,-0.167388916016,-0.591659545898
9.034,,-0.167388916016,-0.591659545898
9.035,,-0.167388916016,-0.595474243164
9.036,,-0.167388916016,-0.595474243164
9.037,,-0.167388916016,-0.595474243164
9.038,,-0.167388916016,-0.595474243164
9.039,,-0.167388916016,-0.59928894043
9.04,,-0.167770385742,-0.595474243164
9.041,,-0.167388916016,-0.595474243164
9.042,,-0.167770385742,-0.595474243164
9.043,,-0.167388916016,-0.595474243164
9.044,,-0.167388916016,-0.595474243164
