"Latest: Time (s)","Latest: Potential (mV)","Latest: Current (A)"
23.232,-93.0356323242,-0.143413543701
23.233,-93.5065795898,-0.137310028076
23.234,-94.4484741211,-0.131969451904
23.235,-94.4484741211,-0.126247406006
23.236,-94.9194213867,-0.120906829834
23.237,-94.9194213867,-0.114803314209
23.238,-95.3903686523,-0.109462738037
23.239,-95.861315918,-0.103359222412
23.24,-96.3322631836,-0.0980186462402
23.241,-96.3322631836,-0.0919151306152
23.242,-96.3322631836,-0.0861930847168
23.243,-96.3322631836,-0.0804710388184
23.244,-96.8032104492,-0.0743675231934
23.245,-97.2741577148,-0.0690269470215
23.246,-97.2741577148,-0.0625419616699
23.247,-97.2741577148,-0.0568199157715
23.248,-97.7451049805,-0.051097869873
23.249,-97.2741577148,-0.044994354248
23.25,-97.7451049805,-0.0392723083496
23.251,-98.2160522461,-0.0335502624512
23.252,-98.6869995117,-0.0278282165527
23.253,-98.2160522461,-0.0221061706543
23.254,-98.2160522461,-0.0160026550293
23.255,-98.6869995117,-0.0098991394043
23.256,-98.6869995117,-0.00417709350586
23.257,-98.6869995117,0.00154495239258
23.258,-98.6869995117,0.00764846801758
23.259,-98.2160522461,0.0137519836426
23.26,-98.2160522461,0.0198554992676
23.261,-98.2160522461,0.0251960754395
23.262,-98.2160522461,0.0316619873047
23.263,-98.2160522461,0.0373840332031
23.264,-97.7451049805,0.0431060791016
23.265,-97.7451049805,0.0492095947266
23.266,-97.7451049805,0.054931640625
23.267,-97.7451049805,0.0606536865234
23.268,-97.7451049805,0.0667572021484
23.269,-97.7451049805,0.0724792480469
23.27,-97.2741577148,0.0782012939453
23.271,-97.2741577148,0.0839233398438
23.272,-96.8032104492,0.0896453857422
23.273,-96.3322631836,0.0953674316406
23.274,-96.8032104492,0.101470947266
23.275,-96.3322631836,0.107192993164
23.276,-95.861315918,0.112915039063
23.277,-95.3903686523,0.118637084961
23.278,-94.9194213867,0.123977661133
23.279,-94.4484741211,0.130081176758
