"Latest: Time (s)","Latest: Potential (mV)","Latest: Current (A)"
27.112,-30.894140625,0.366191864014
27.113,-30.894140625,0.368099212646
27.114,-30.4231933594,0.369625091553
27.115,-30.4231933594,0.371532440186
27.116,-29.9522460937,0.373439788818
27.117,-29.4812988281,0.375347137451
27.118,-29.9522460937,0.377254486084
27.119,-29.0103515625,0.378398895264
27.12,-29.0103515625,0.380687713623
27.121,-28.5394042969,0.381832122803
27.122,-28.5394042969,0.383739471436
27.123,-28.0684570312,0.385265350342
27.124,-28.0684570312,0.387172698975
27.125,-27.5975097656,0.388698577881
27.126,-28.0684570312,0.390605926514
27.127,-27.5975097656,0.391750335693
27.128,-27.1265625,0.3932762146
27.129,-26.6556152344,0.394802093506
27.13,-26.6556152344,0.397090911865
27.131,-26.1846679687,0.398235321045
27.132,-26.1846679687,0.399379730225
27.133,-25.7137207031,0.401287078857
27.134,-25.2427734375,0.402812957764
27.135,-24.7718261719,0.40433883667
27.136,-24.7718261719,0.405864715576
27.137,-24.3008789062,0.407009124756
27.138,-24.3008789062,0.408916473389
27.139,-23.8299316406,0.409679412842
27.14,-23.8299316406,0.411205291748
27.141,-23.358984375,0.412731170654
27.142,-23.358984375,0.413875579834
27.143,-23.358984375,0.41540145874
27.144,-22.8880371094,0.41654586792
27.145,-22.4170898437,0.418071746826
27.146,-22.4170898437,0.419216156006
27.147,-21.9696899414,0.421104431152
27.148,-21.9696899414,0.422248840332
27.149,-21.4987426758,0.423393249512
27.15,-21.4987426758,0.424919128418
27.151,-20.5568481445,0.426063537598
27.152,-20.5568481445,0.427207946777
27.153,-20.0859008789,0.428352355957
27.154,-20.0859008789,0.429496765137
27.155,-19.6149536133,0.430641174316
27.156,-19.6149536133,0.431785583496
27.157,-19.1440063477,0.432929992676
27.158,-18.673059082,0.434074401855
27.159,-19.1440063477,0.434837341309
27.16,-18.673059082,0.435981750488
27.161,-18.2021118164,0.437126159668
27.162,-17.7311645508,0.437889099121
27.163,-17.2602172852,0.439414978027
27.164,-17.2602172852,0.44017791748
27.165,-17.2602172852,0.44132232666
27.166,-17.2602172852,0.442085266113
27.167,-16.3183227539,0.443229675293
27.168,-15.8473754883,0.443992614746
27.169,-15.8473754883,0.444755554199
27.17,-15.3764282227,0.445899963379
27.171,-15.3764282227,0.446662902832
27.172,-14.905480957,0.447807312012
27.173,-14.4345336914,0.448570251465
27.174,-13.9635864258,0.449333190918
27.175,-13.9635864258,0.450096130371
27.176,-13.9635864258,0.450859069824
27.177,-13.4926391602,0.452003479004
27.178,-13.4926391602,0.45238494873
27.179,-13.0216918945,0.453147888184
27.18,-12.5507446289,0.453910827637
27.181,-12.5507446289,0.45467376709
27.182,-12.5507446289,0.455055236816
27.183,-12.0797973633,0.456199645996
27.184,-11.137902832,0.456581115723
27.185,-11.137902832,0.457344055176
27.186,-10.6669555664,0.457725524902
27.187,-10.1960083008,0.458488464355
27.188,-9.72506103516,0.459251403809
27.189,-9.72506103516,0.459632873535
27.19,-9.25411376953,0.460014343262
27.191,-8.78316650391,0.460777282715
27.192,-8.78316650391,0.461158752441
27.193,-8.78316650391,0.461540222168
27.194,-8.31221923828,0.461921691895
27.195,-7.84127197266,0.462303161621
27.196,-7.84127197266,0.463066101074
27.197,-7.37032470703,0.463066101074
27.198,-7.37032470703,0.463829040527
27.199,-6.89937744141,0.464210510254
27.2,-6.42843017578,0.464210510254
27.201,-5.95748291016,0.464973449707
27.202,-5.48653564453,0.465354919434
27.203,-5.48653564453,0.465354919434
27.204,-5.01558837891,0.465354919434
27.205,-5.01558837891,0.466117858887
27.206,-4.54464111328,0.466499328613
27.207,-4.07369384766,0.466499328613
27.208,-3.60274658203,0.466499328613
27.209,-3.60274658203,0.46688079834
27.21,-3.60274658203,0.46688079834
27.211,-3.13179931641,0.467262268066
27.212,-2.66085205078,0.467262268066
27.213,-2.18990478516,0.467262268066
27.214,-2.18990478516,0.467643737793
27.215,-1.71895751953,0.467643737793
27.216,-1.71895751953,0.467643737793
27.217,-1.24801025391,0.467643737793
27.218,-0.777062988281,0.46802520752
27.219,-0.777062988281,0.467643737793
27.22,-0.306115722656,0.46802520752
27.221,-0.306115722656,0.467643737793
27.222,0.164831542969,0.467643737793
27.223,0.635778808594,0.46802520752
27.224,1.10672607422,0.467643737793
27.225,1.10672607422,0.467643737793
27.226,1.10672607422,0.467262268066
27.227,1.57767333984,0.467643737793
27.228,2.04862060547,0.467262268066
27.229,2.04862060547,0.46688079834
27.23,2.51956787109,0.46688079834
27.231,2.51956787109,0.466499328613
27.232,2.99051513672,0.466117858887
27.233,2.99051513672,0.466117858887
27.234,3.93240966797,0.46573638916
27.235,3.93240966797,0.46573638916
27.236,4.40335693359,0.465354919434
27.237,4.87430419922,0.464973449707
27.238,4.87430419922,0.46459197998
27.239,5.34525146484,0.464210510254
27.24,5.81619873047,0.463829040527
27.241,6.28714599609,0.463066101074
27.242,6.28714599609,0.463066101074
27.243,6.28714599609,0.462684631348
27.244,6.75809326172,0.462303161621
27.245,7.22904052734,0.461540222168
27.246,7.22904052734,0.461158752441
27.247,7.69998779297,0.461158752441
27.248,7.69998779297,0.460014343262
27.249,7.69998779297,0.459632873535
27.25,8.64188232422,0.458869934082
27.251,9.11282958984,0.458488464355
27.252,9.11282958984,0.458106994629
27.253,9.58377685547,0.457344055176
27.254,9.58377685547,0.456581115723
27.255,10.5256713867,0.456199645996
27.256,10.5256713867,0.45581817627
27.257,10.9966186523,0.45467376709
27.258,11.467565918,0.454292297363
27.259,10.9966186523,0.45352935791
27.26,11.467565918,0.45238494873
27.261,11.9385131836,0.452003479004
27.262,11.9385131836,0.451240539551
27.263,12.4094604492,0.450477600098
27.264,12.8804077148,0.449714660645
27.265,12.8804077148,0.448570251465
27.266,12.8804077148,0.447807312012
27.267,13.8223022461,0.446662902832
27.268,14.2932495117,0.446281433105
27.269,14.2932495117,0.445518493652
27.27,14.7641967773,0.443992614746
27.271,14.7641967773,0.443229675293
27.272,14.7641967773,0.442085266113
27.273,15.7060913086,0.44132232666
27.274,15.7060913086,0.44017791748
27.275,16.1770385742,0.439414978027
27.276,16.1770385742,0.438270568848
27.277,16.1770385742,0.437507629395
27.278,16.6479858398,0.436744689941
27.279,17.1189331055,0.434837341309
27.28,17.1189331055,0.434455871582
27.281,17.1189331055,0.433311462402
27.282,17.5898803711,0.432167053223
27.283,17.5898803711,0.430641174316
27.284,18.5317749023,0.429878234863
27.285,18.5317749023,0.42911529541
27.286,19.002722168,0.427207946777
27.287,19.4736694336,0.426445007324
27.288,19.9446166992,0.425300598145
27.289,19.9446166992,0.423774719238
27.29,20.4155639648,0.422630310059
27.291,20.8865112305,0.421485900879
27.292,20.8865112305,0.419597625732
27.293,20.8865112305,0.418071746826
27.294,21.3574584961,0.416927337646
27.295,21.8284057617,0.415782928467
27.296,21.8284057617,0.414257049561
27.297,22.2993530273,0.413112640381
27.298,22.2993530273,0.411586761475
27.299,22.2993530273,0.410442352295
27.3,22.770300293,0.408535003662
27.301,23.2412475586,0.407772064209
27.302,23.7121948242,0.406246185303
27.303,23.7121948242,0.404720306396
27.304,24.1831420898,0.40319442749
27.305,24.6540893555,0.401287078857
27.306,24.6540893555,0.400142669678
27.307,25.1250366211,0.398998260498
27.308,25.5959838867,0.397472381592
27.309,25.1250366211,0.395183563232
27.31,25.1250366211,0.394039154053
27.311,25.5959838867,0.39213180542
27.312,26.0433837891,0.390605926514
27.313,26.5143310547,0.389080047607
27.314,26.5143310547,0.387172698975
27.315,26.5143310547,0.386028289795
27.316,26.9852783203,0.384120941162
27.317,27.4562255859,0.382595062256
27.318,27.9271728516,0.38106918335
27.319,27.9271728516,0.379543304443
27.32,28.3981201172,0.377635955811
27.321,28.3981201172,0.375728607178
27.322,28.3981201172,0.373821258545
27.323,28.8690673828,0.372295379639
27.324,29.3400146484,0.370388031006
27.325,29.3400146484,0.368480682373
27.326,29.3400146484,0.366954803467
27.327,29.3400146484,0.364665985107
27.328,30.2819091797,0.363140106201
27.329,30.2819091797,0.361232757568
27.33,30.2819091797,0.358943939209
27.331,30.7528564453,0.357418060303
27.332,30.7528564453,0.35551071167
27.333,30.7528564453,0.353603363037
27.334,31.6947509766,0.351696014404
27.335,32.1656982422,0.349788665771
27.336,32.1656982422,0.347881317139
27.337,32.1656982422,0.345592498779
27.338,32.6366455078,0.343685150146
27.339,32.6366455078,0.341777801514
27.34,33.1075927734,0.339870452881
27.341,33.1075927734,0.337581634521
27.342,33.1075927734,0.335674285889
27.343,33.5785400391,0.333766937256
27.344,33.5785400391,0.331478118896
27.345,34.0494873047,0.329570770264
27.346,34.0494873047,0.327663421631
27.347,34.5204345703,0.325374603271
27.348,34.0494873047,0.323467254639
27.349,34.5204345703,0.320796966553
27.35,34.9913818359,0.31888961792
27.351,35.4623291016,0.316600799561
27.352,35.4623291016,0.314693450928
27.353,35.9332763672,0.312404632568
27.354,35.9332763672,0.310115814209
27.355,35.9332763672,0.308208465576
27.356,36.4042236328,0.305919647217
27.357,36.4042236328,0.304012298584
27.358,36.8751708984,0.301723480225
27.359,36.8751708984,0.299053192139
27.36,36.8751708984,0.296764373779
27.361,37.3461181641,0.29447555542
27.362,37.3461181641,0.292186737061
27.363,37.8170654297,0.289897918701
27.364,37.8170654297,0.287609100342
27.365,37.8170654297,0.285320281982
27.366,37.8170654297,0.283031463623
27.367,38.2880126953,0.280742645264
27.368,38.7589599609,0.278453826904
27.369,38.7589599609,0.276165008545
27.37,38.7589599609,0.273494720459
27.371,39.2299072266,0.2712059021
27.372,39.2299072266,0.26891708374
27.373,39.2299072266,0.266246795654
27.374,39.7008544922,0.263957977295
27.375,40.1718017578,0.261669158936
27.376,39.7008544922,0.25899887085
27.377,39.7008544922,0.25671005249
27.378,40.1718017578,0.254421234131
27.379,40.1718017578,0.252132415771
27.38,40.6427490234,0.249080657959
27.381,40.6427490234,0.2467918396
27.382,40.6427490234,0.244121551514
27.383,40.6427490234,0.241832733154
27.384,41.1136962891,0.239162445068
27.385,41.5846435547,0.236492156982
27.386,41.5846435547,0.234203338623
27.387,41.5846435547,0.231533050537
27.388,42.0555908203,0.229244232178
27.389,42.0555908203,0.226192474365
27.39,42.5265380859,0.223922729492
27.391,42.5265380859,0.221252441406
27.392,42.5265380859,0.21858215332
27.393,42.5265380859,0.215911865234
