"Latest: Time (s)","Latest: Illumination (lux)","Latest: Angle (rad)","Latest: Velocity (rad/s)","Latest: Acceleration (rad/s²)","Run 1: Time (s)","Run 1: Intensity (%)","Run 1: Angle (rad)","Run 1: Velocity (rad/s)","Run 1: Acceleration (rad/s²)"
10,93371.7974854,-2.58308729295,-0.484813681109,-0.926532812787,10,27.9846191406,-2.86233997327,-0.465421133865,1.87999971897
10.05,94778.9263916,-2.61799387799,-0.513902501976,-0.32320912074,10.05,28.7170410156,-2.89724655831,-0.31028075591,2.97352391081
10.1,92081.9293213,-2.63544717051,-0.513902501976,0.290888208665,10.1,29.4189453125,-2.89724655831,-0.0872664625997,2.51025750441
10.15,91554.2559814,-2.67035375555,-0.48481368111,0.824183257886,10.15,29.2663574219,-2.89724655831,-0.0193925472444,1.21203420277
10.2,91612.8863525,-2.68780704807,-0.39754721851,0.748767796381,10.2,28.0151367188,-2.89724655831,0,0.414785038283
10.25,92081.9293213,-2.70526034059,-0.387850944888,0.398624582246,10.25,28.3813476563,-2.89724655831,0,0.0808022801849
10.3,92668.2330322,-2.72271363311,-0.426636039376,1.21203420277,10.3,28.1982421875,-2.89724655831,0,0.010773637358
10.35,92257.8204346,-2.75762021815,-0.300584482288,2.53180477913,10.35,28.1066894531,-2.89724655831,0,0
10.4,88332.5170898,-2.75762021815,-0.0872664625997,2.332492488,10.4,27.8015136719,-2.89724655831,0,0
10.45,89387.8637695,-2.75762021815,-0.0193925472444,1.17432647202,10.45,27.7099609375,-2.89724655831,0,0
10.5,88860.1904297,-2.75762021815,0,0.409398219604,10.5,28.1066894531,-2.89724655831,0,-0.005386818679
10.55,88449.777832,-2.75762021815,0,0.0808022801849,10.55,28.1066894531,-2.89724655831,0,-0.048481368111
10.6,89153.3422852,-2.75762021815,0,0.010773637358,10.6,28.1066894531,-2.89724655831,0,-0.26934093395
10.65,89270.6030273,-2.75762021815,0,0,10.65,29.1442871094,-2.89724655831,-0.00969627362219,-0.926532812787
10.7,90443.2104492,-2.75762021815,0,0,10.7,29.0832519531,-2.89724655831,-0.0581776417331,-2.21398247707
10.75,91261.104126,-2.75762021815,0,0,10.75,29.1137695313,-2.89724655831,-0.22301429331,-3.51759259738
10.8,91554.2559814,-2.75762021815,0,0,10.8,26.9180297852,-2.91469985083,-0.475117407487,-3.51759259738
10.85,92199.1900635,-2.75762021815,0,0,10.85,26.887512207,-2.94960643587,-0.639954059065,-2.21398247707
10.9,89446.4941406,-2.75762021815,0,0,10.9,26.0635375977,-2.98451302091,-0.688435427176,-0.921145994108
10.95,89153.3422852,-2.75762021815,0,0,10.95,22.9522705078,-3.01941960595,-0.698131700798,-0.231633203197
11,91088.1445313,-2.75762021815,0,0,11,21.1837768555,-3.05432619099,-0.698131700798,0.140057285654
11.05,94192.6226807,-2.75762021815,0,0,11.05,22.7096557617,-3.08923277603,-0.688435427176,0.500974137147
11.1,93664.9493408,-2.75762021815,0,0,11.1,24.5086669922,-3.12413936107,-0.659346606309,0.96424054354
11.15,92492.3419189,-2.75762021815,0,0,11.15,26.0635375977,-3.15904594611,-0.562383870087,0.818796439207
11.2,92316.4508057,-2.75762021815,0,0,11.2,25.8193969727,-3.17649923863,-0.542991322843,0.0323209120739
11.25,93078.6456299,-2.75762021815,0,0,11.25,24.3255615234,-3.21140582367,-0.562383870087,-0.657191878837
11.3,91847.4078369,-2.75762021815,0,0,11.3,23.1658935547,-3.22885911619,-0.649650332687,-0.603323692047
11.35,92668.2330322,-2.75762021815,0,0,11.35,23.1658935547,-3.28121899375,-0.659346606309,0.172378197728
11.4,88039.3652344,-2.75762021815,0,0,11.4,23.2879638672,-3.29867228627,-0.591472690954,0.32320912074
11.45,89094.7119141,-2.75762021815,0,-0.005386818679,11.45,24.3560791016,-3.33357887131,-0.630257785442,0.468653225072
